CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
522;3664;Büro/Unterkunftscont.;20 ft. GR-JO;210,00;6055x2435x2817;1015 hellelfenbein;850;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;06.11.2014;  .  .    ;  .  .    ;  .  .    ;/11.11.2014/19:17;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
987;18128;Bürocontainer 20 ft;GR-JO;180,00;6055x2435x2820;9018/7024;857;gemietet von GR-JO;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;100,00;12.11.2014;  .  .    ;  .  .    ;  .  .    ;/13.11.2014/11:41;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;S;WН;WН;WН;WН;WН
909;17465;Büro/Unterkunftscont.;20 ft. GR-JO;180,00;6055x2435x2820;1015 hellelfenbein;859;;;08.10;  .  .    ;  .  .    ;;5100,00;0,00;0,0;0,00;19.11.2014;  .  .    ;  .  .    ;  .  .    ;/20.11.2014/09:15;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
985;357803-4;Stahllagercont. 20 ft;;95,00;6055x2435x2590;grün;859;;CDM;;  .  .    ;  .  .    ;;1475,00;0,00;0,0;0,00;19.11.2014;  .  .    ;  .  .    ;  .  .    ;/20.11.2014/09:14;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
720;221.3/06;Büro/Unterkunftscont.;STUGEBA;0,00;6055x2435x2590;1015 hellelfenbein;866;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.01.2015;  .  .    ;  .  .    ;20.05.2015;/01.06.2015/17:43;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
774;045719-0;Stahllagercont. 20 ft;;71,25;6055x2435x2590;dunkelgrau;867;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.01.2015;  .  .    ;  .  .    ;  .  .    ;/10.03.2015/08:00;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
930;262802-5;Kühlcontainer 20 ft.;ZANOTTI;510,00;6055x2435x2590;1013 / 5021;872;;Braun Container;;  .  .    ;  .  .    ;;3780,00;0,00;0,0;0,00;23.04.2015;  .  .    ;  .  .    ;  .  .    ;/24.04.2015/11:07;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1034;561163-0;Kühlcontainer 20 ft.;ZANOTTI;750,00;6055x2435x2590;1013 / 5021;874;;CHT-Container;;  .  .    ;  .  .    ;;4500,00;0,00;0,0;0,00;22.05.2015;  .  .    ;  .  .    ;  .  .    ;/21.05.2015/16:22;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
648;291374-5;Kühlcontainer 20 ft.;ZANOTTI;1225,00;6055x2435x2590;RAL 1013 / 5021;874;;CDM;;  .  .    ;  .  .    ;;1675,00;0,00;0,0;0,00;22.05.2015;  .  .    ;  .  .    ;  .  .    ;/21.05.2015/16:22;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1025;061378138;Kühl-Container 10 ft.;TD/ARKTIK;2625,00;2991x2435x2590;1013 / 5021;874;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.05.2015;  .  .    ;  .  .    ;  .  .    ;/21.05.2015/16:22;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
1069;1402052-4;TK-Container;TD/Thermo-King;1020,00;6055x2600x2590;1013 / 5021;874;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.05.2015;  .  .    ;  .  .    ;  .  .    ;/21.05.2015/16:23;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
487;252163-4;Kühlcontainer 20 ft.;ARKTIK;675,00;6055x2435x2400;1013 / 5021;875;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.05.2015;  .  .    ;  .  .    ;  .  .    ;/28.05.2015/11:44;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
