CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
27;738/92;Sanitärcont. DU/WC;20 ft. STUGEBA;0,00;6055x2435x2590;RAL 1015;0;;STUGEBA;  .92;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.01.2015;  .  .    ;  .  .    ;10.02.2015;/13.02.2015/08:25;WН;WН;WН;WН;WН;Sє;Sє;Sє;Sъ;Sъ;Sі;WН;WН;Wъ;WН;WН;S;Sъ;Sє;Sє;Sє;Sє;WН;WН;WН;WН;WН
57;58;Stahllagercont. 20 ft;TC6 STUGEBA;0,00;6055x2435x2590;rot;0;;STUGEBA;  .91;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.11.2012;  .  .    ;  .  .    ;08.11.2013;/11.11.2013/13:54;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
66;200712-9;Stahllagercont. 20 ft;;375,00;6055x2435x2590;rotbraun;0;;;;01.06.1990;  .  .    ;;3170,01;0,00;0,0;0,00;18.09.2014;  .  .    ;  .  .    ;  .  .    ;/17.09.2014/13:46;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
99;770464-8;Wechselbehälter;;0,00;7150x2500x2590;;0;;;  .91;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;09.05.2005;  .  .    ;  .  .    ;  .  .    ;/30.08.2005/16:18;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
168;1452;Bürocontainer 20 ft.;GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;12.06;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.04.2013;  .  .    ;  .  .    ;05.08.2014;/07.08.2014/16:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;S;WН;WÄ;WН;WÄ;WН
175;0000412;Bürocontainer 13 ft.;;180,00;4000x2435x2800;;0;gemietet von ALGECO;;  .;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;05.02.2014;  .  .    ;  .  .    ;28.02.2014;/06.03.2014/11:05;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;S;WН;WН;WН;WН;WН
187;553035-0;Lagercontainer 7,15 m;Rolltor;0,00;7150x2500x2590;weiß;0;;CDM;  .;  .  .    ;  .  .    ;;1400,00;0,00;0,0;0,00;23.07.2012;  .  .    ;  .  .    ;28.02.2013;/04.03.2013/15:28;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;S;WН;WН;WН;WН;WН
194;106289;Stahllagercont. 20 ft;;55,00;6055x2435x2590;hellbraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;24.01.2012;  .  .    ;  .  .    ;  .  .    ;/02.09.2014/15:12;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
199;336/92;Stahllagercont. 20 ft;TC6 STUGEBA;0,00;6055x2435x2590;;0;;;  .92;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;15.01.2015;/16.01.2015/08:36;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
226;1187.2/93;Sanitärcont. Herren;STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;;11.93;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.10.2009;  .  .    ;  .  .    ;  .  .    ;/12.11.2010/14:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
229;210114-0;Stahllagercont. 20 ft;(E-Inst.);87,50;6055x2435x2590;dunkelrot;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;13.05.2013;  .  .    ;  .  .    ;07.11.2013;/08.11.2013/11:44;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
232;22.1/94;Sanitärcont. Herren;10 ft. STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;STUGEBA;01.94;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;19.11.2013;  .  .    ;  .  .    ;17.12.2014;/23.12.2014/08:20;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
233;22.2/94;Sanitärcont. Herren;10 ft. STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;;01.94;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.02.2014;  .  .    ;  .  .    ;24.09.2014;/25.09.2014/10:24;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
234;22.3/94;Sanitärcont. Herren;10 ft. STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;STUGEBA;01.94;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.02.2014;  .  .    ;  .  .    ;  .  .    ;/10.06.2014/11:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
240;266.2/94;Bürocontainer WC/DU;CN  STUGEBA;1320,00;6055x2435x2590;1015 hellelfenbein;0;;STUGEBA;03.94;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;01.09.2014;  .  .    ;  .  .    ;07.10.2014;/09.10.2014/10:39;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
246;443888-6;Stahllagercontainer;40 ft.;0,00;12192x2435x2590;;0;VERKÄUFER;;  .;  .  .    ;  .  .    ;;0,00;0,00;0,0;352,79;18.11.2013;  .  .    ;  .  .    ;  .  .    ;/15.11.2013/09:37;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
247;000050;2 Elektrokabel   1 m;380V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.06.2010;  .  .    ;  .  .    ;10.09.2010;/14.09.2010/13:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
248;000051;Elektrokabel CEE 25 m;380V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;12.06.2014;  .  .    ;  .  .    ;30.06.2014;/02.07.2014/14:32;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
250;000052;Elektrokabel 25 m;380V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;06.11.2014;  .  .    ;  .  .    ;22.12.2014;/23.12.2014/08:06;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
251;000053;15 Stück E-Kabel  1m;380V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;14.09.2010;  .  .    ;  .  .    ;  .  .    ;/30.10.2012/12:49;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
253;000055;Elektrokabel 1 m;380V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;05.07.2013;  .  .    ;  .  .    ;07.05.2014;/14.05.2014/13:54;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
254;000056;Elektro-Adapter CEE;32A/16A;45,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.07.2013;  .  .    ;  .  .    ;04.09.2013;/05.09.2013/08:09;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
255;000057;Elektrokabel CEE 15 m;400V/5x32A;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;20.08.2014;  .  .    ;  .  .    ;28.08.2014;/01.09.2014/09:25;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
256;000011;Stahl-Außentreppe;3stufig;21,25;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;20.03.2014;  .  .    ;  .  .    ;23.04.2014;/29.04.2014/17:02;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
257;000012;Stahl-Außentreppe;3stufig;21,25;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;20.03.2014;  .  .    ;  .  .    ;23.04.2014;/29.04.2014/17:02;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
258;000090;4 Betonfüße;Rampenhöhe;0,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;22.05.2009;  .  .    ;  .  .    ;11.08.2009;/12.08.2009/16:40;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
271;600047-0;Stahllagercont. 20 ft;;380,00;6055x2435x2590;braun;0;;CDM;;  .  .    ;  .  .    ;;2019,60;0,00;0,0;0,00;21.11.2014;  .  .    ;  .  .    ;12.12.2014;/15.12.2014/08:17;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
274;222044-0;Stahllagercont. 20 ft;;375,00;6055x2435x2590;weiß;0;;Finsterwalder;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;18.11.2014;  .  .    ;  .  .    ;08.12.2014;/09.12.2014/11:09;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
283;FAEK011;Fäkalientank 5500 l;GR-JO;100,75;6055x2435x400;braun;0;;;  .;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.07.2014;  .  .    ;  .  .    ;  .  .    ;/16.07.2014/16:08;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
287;210309-0;Stahllagercont. 20 ft;;55,00;6055x2435x2590;blau;0;;C.S.C;;  .  .    ;  .  .    ;;1278,23;0,00;0,0;0,00;26.01.2012;  .  .    ;  .  .    ;  .  .    ;/02.09.2014/15:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
289;000030;Datenlogger 15043310;EBI 2T-112;90,00;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;10.04.2014;  .  .    ;  .  .    ;28.04.2014;/27.03.2015/13:29;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
309;0000403;Stahllagercont. 20 ft;;71,25;;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/04.09.2014/10:17;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
314;410416-6;Stahllagercontainer;40 ft.;1180,00;12120x2435x2590;blau;0;;CDM;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.12.2003;  .  .    ;  .  .    ;28.01.2014;/29.01.2014/07:54;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
315;222076-9;Stahllagercont. 20 ft;;450,00;6055x2435x2590;rot;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;11.03.2014;  .  .    ;  .  .    ;  .  .    ;/10.03.2014/09:08;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
325;F 594/95;Fäkalientank 6500 l;Töben;0,00;6055x2435x450;RAL 8024;0;;Töben;10.95;  .  .    ;  .  .    ;;1329,36;0,00;0,0;0,00;08.05.2008;  .  .    ;  .  .    ;03.12.2008;/01.09.2010/11:21;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
326;F 595/95;Fäkalientank  6500 l;Töben;0,00;6055x2435x450;8024;0;;Töben;10.95;  .  .    ;  .  .    ;;1329,36;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;18.03.2005;/23.03.2005/10:04;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
333;103943-1;TK-Container  20 ft.;CARRIER;953,00;6055x2435x2590;;0;gemietet von Hitzefrei;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/09.11.2012/12:51;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
334;GI1121;Bürocontainer Kasse;GR-JO;869,00;6055x2435x2820;9018 / 7024;0;;;  .;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.01.2015;  .  .    ;  .  .    ;30.01.2015;/02.02.2015/16:04;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
337;F 002/96;Fäkalientank 6500 l;Töben;130,00;6055x2435x480;RAL 8024;0;;Töben;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;06.07.2011;  .  .    ;  .  .    ;09.09.2011;/09.09.2011/13:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
338;F 003/96;Fäkalientank 6500 l;Töben;0,00;6055x2435x480;8024;0;;Töben;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;21.06.2010;  .  .    ;  .  .    ;10.09.2010;/14.09.2010/13:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
339;F 004/96;Fäkalientank 6500 l;Töben;0,00;6055x2435x480;8024;0;;Töben;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;05.08.2009;  .  .    ;  .  .    ;30.04.2010;/04.05.2010/07:48;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
340;F 005/96;Fäkalientank 6500 l;Töben;108,50;6055x2435x480;8024;0;;Töben;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;28.06.2012;  .  .    ;  .  .    ;31.08.2012;/30.08.2012/17:31;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
341;1/96;Sanitärmodul Dusche;STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;10.07.2014;  .  .    ;  .  .    ;12.11.2014;/13.11.2014/16:10;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
344;F 194.1/96;Fäkalientank 6500 l;STUGEBA;250,00;6055x2435x450;8024 beigebrau;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;13.07.2012;  .  .    ;  .  .    ;16.07.2012;/14.07.2014/15:31;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
345;F 194.2/96;Fäkalientank 6500 l;STUGEBA;0,00;6055x2435x450;8024 beigebraun;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;27.11.2013;  .  .    ;  .  .    ;24.02.2014;/26.02.2014/08:44;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
346;F 194.3/96;Fäkalientank 6500 l;STUGEBA;0,00;6055x2435x450;8024 beigebraun;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;28.06.2012;  .  .    ;  .  .    ;25.09.2014;/26.09.2014/12:04;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
347;F 194.4/96;Fäkalientank 7000 l;STUGEBA;250,00;6055x2435x450;8024 beigebraun;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.07.2012;  .  .    ;  .  .    ;  .  .    ;/14.07.2014/15:32;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
348;F 194.5/96;Fäkalientank 6500 l;STUGEBA;420,00;6055x2435x450;8024 beigebraun;0;;STUGEBA;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;27.06.2011;  .  .    ;  .  .    ;01.07.2011;/04.07.2011/10:09;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
357;278.1/96;Sanitärcont. Da/He;20 ft. STUGEBA;1210,00;6055x2435x2590;1015 hellelfenbein;0;;;04.96;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;27.08.2014;  .  .    ;  .  .    ;11.09.2014;/15.09.2014/09:04;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
362;1110;Sanitärcont.  Da/He;24 ft. GR-JO;360,00;7230x2435x2817;9018;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;24.08.2007;  .  .    ;  .  .    ;  .  .    ;/02.11.2009/10:18;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
368;0402493;Sanitärcont. Dusch/WC;20 ft.;700,00;3000x2435x2590;gelb;0;gemietet von JODAG;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;170,00;18.08.2008;  .  .    ;  .  .    ;25.08.2008;/22.02.2011/07:34;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
369;900013-2;Stahllagercont. 20 ft;;55,00;6055x2435x2590;hellbraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;24.01.2012;  .  .    ;  .  .    ;  .  .    ;/02.09.2014/15:12;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
370;203147-8;Kühlcontainer 20 ft.;ZANOTTI;1930,00;6055x2435x2400;1013 / 5021;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;01.09.2014;  .  .    ;  .  .    ;10.10.2014;/13.10.2014/14:02;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
371;566059-1;TK-Container  20 ft.;ZANOTTI;0,00;6055x2435x2590;1013 / 5021;0;;Behm;;  .  .    ;  .  .    ;;766,94;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/22.05.2013/09:30;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
376;J7672;Sanitärcont. Da/He;GR-JO;304,00;7230x2435x2800;;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;  .  .    ;/30.08.2013/09:11;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
392;F 703.1/96;Fäkalientank 6500 l;STUGEBA;325,00;6055x2435x500;RAL 8024;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;11.07.2012;  .  .    ;  .  .    ;17.07.2012;/18.07.2012/17:13;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
393;F 703.2/96;Fäkalientank 7000 l;STUGEBA;0,00;6055x2435x500;8024;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;28.06.2013;  .  .    ;  .  .    ;25.11.2014;/04.12.2014/08:50;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
394;F 703.3/96;Fäkalientank 3400 l;STUGEBA;117,00;3000x2435x500;8024;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;17.07.2012;  .  .    ;  .  .    ;06.11.2012;/03.12.2012/08:13;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
395;F 703.4/96;Fäkalientank 3400 l;STUGEBA;300,00;3000x2435x500;8024;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;10.08.2009;  .  .    ;  .  .    ;18.08.2009;/21.08.2009/12:56;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
